area_ratio,R_mean,G_mean,B_mean,R_std,G_std,B_std,R_min,G_min,B_min,R_max,G_max,B_max,aspect_ratio,circularity,roughness,symmetry_score,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,ID
0.007198875,66.7505223617116,53.38702806572786,38.78619344457757,47.329371755675865,44.41560116629213,35.298702396410384,5,3,0,203,199,186,1.2329545454545454,0.1628055246188548,6.142297703597998,-20.70869869713439,3.0923945935618913,8.285826220918759,9.895985914095762,9.997082404482674,9.99999999999999,-9.999999832112689,9.999999999999993,1
0.015549583333333334,82.40383182829122,63.18106594496101,59.682017203033304,52.36369970057109,48.852400699245095,50.48066370207032,4,0,0,255,255,255,1.1377551020408163,0.21496243311359822,4.651975629022041,-170.93110747876418,3.0754730368756458,7.9142136574039155,9.609727186558723,9.99876213704021,9.999999999999993,-9.99999990540897,9.999999999999996,10
0.025340666666666668,57.150882310383835,48.67015962484544,43.055350753729186,51.68615609291158,46.36411961900147,44.3313830106659,1,1,0,255,255,255,0.9923076923076923,0.3216435223163211,3.1090319891981975,-90.48193943858357,3.147343125618249,7.595739246952023,9.904111781606836,9.994711502568354,-9.999999999999975,9.999999222686162,9.999999999999984,100
0.0257145,79.70279900445274,64.67220342608256,56.632629450310134,58.749182583365155,52.89373196272036,51.07557512996772,0,0,0,255,255,255,0.68125,0.30004225864710693,3.332863858940538,-78.19869464050763,3.125862768742749,7.210017192284953,9.784136293463163,9.99866540500482,9.999999999999995,-9.999999903842848,-9.999999999999996,101
0.026654166666666666,68.93065812099421,56.02605127403471,50.024087853681415,60.17033040059961,52.410673627679216,52.49578259827528,0,0,0,255,255,255,0.9452054794520548,0.319915502120458,3.1258253925541393,-103.30502423010786,3.10071425869865,6.887545763846171,9.914134255984356,9.990651143726394,-9.999999999999964,-9.999996657947616,9.999999999999945,102
0.028225166666666666,81.31879203547662,66.790238912082,58.255952134915056,59.19534254199195,52.096450959956506,50.06910933359936,0,1,0,255,255,255,1.2461538461538462,0.36987821534741777,2.7035925840092054,-52.752071142183986,3.1197362221303377,7.14465917770755,9.873682806854175,9.994184655550654,-9.999999999999961,9.999999478352912,-9.999999999999995,103
0.024927166666666667,76.42868389909269,70.00845463115877,60.49168744943602,62.1324429509921,62.867982007312726,56.42238608004767,2,1,0,250,240,249,1.0208333333333333,0.2759688505824302,3.6235973657510154,-48.084566370024675,3.0490320033201153,6.731661067855752,9.547344866926274,9.956127125955584,-9.999999999997987,-9.999983178383737,9.999999999999668,104
0.023710833333333334,80.15438618071909,61.102969809861875,53.9687800934875,61.540598009130775,57.11019665722768,57.55921620406462,3,0,0,255,255,255,0.6842105263157895,0.5853949472192518,1.7082484308243286,-3.3522932555442306,3.1309871349096214,6.932129571341005,9.855730976435515,9.989846632612275,9.99999999999994,9.999997940126736,9.99999999999992,105
0.0315595,68.10974772519633,51.90527416467308,40.52337119831852,45.03107665558895,37.106123036398074,30.689199803655633,0,0,0,255,255,255,1.2481751824817517,0.28509943911710867,3.5075481140778404,-139.67876550642438,3.11516932351593,7.724323278072802,9.647429915309711,9.977334591869829,9.999999999999487,-9.99999748726172,9.999999999999686,106
0.021639,108.29329181878398,83.63727914105704,64.08316581172882,59.5003464282658,52.28753962568955,39.567561792791636,6,0,0,255,255,255,0.896551724137931,0.3747589940631356,2.6683815888120317,-254.0,3.1512430583353654,8.17622272044819,9.919555800659232,9.993986966507334,-9.999999999999968,-9.999999600827978,-9.999999999999993,107
0.0153065,71.41703143544682,54.89458726684742,52.619431831792596,45.57685407761529,39.86674625630141,43.66181756538147,1,0,0,255,255,255,1.2988505747126438,0.4559510422106192,2.1932179278532042,-31.658358649375536,3.1547684029678624,7.369417802759215,9.934034765921172,9.993949769669962,9.999999999999991,-9.999999967080734,-9.999999999999972,108
0.03264966666666667,81.8713922551532,65.75769915976682,46.88347634993721,50.862524895456765,48.814020867541814,35.73944444556945,3,0,0,220,209,255,0.9116279069767442,0.18760763017070656,5.330273609287459,-174.72399922408601,3.0002061719557327,8.133170668177398,9.234336368518823,9.865412701835844,-9.999999999979641,-9.999996488212826,9.999999999995278,109
0.013443375,120.43727548575662,88.93434498405348,82.08458317448806,45.92521909851394,42.52515415821362,46.7434851007817,12,2,0,255,246,255,0.9224806201550387,0.33354589663370016,2.9980881494634866,-200.59322900685282,3.106712566580611,7.467187725745458,9.797114974328217,9.997370382240332,10.0,9.999999524161575,9.999999999999984,11
